period,respondent,respondent-name,Day-ahead demand forecast,Total interchange,Solar,Wind,YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WSC,Region,hour_sin,hour_cos,month_sin,month_cos,day_of_year,doy_sin,doy_cos,day_of_week,dow_sin,dow_cos,is_weekend,Pct_Solar,Pct_Wind,DA_forecast_yesterday,unexpect_dem_diff,lag_interchange_1h,lag_interchange_24h,interchange_roll_mean_3h,Net_generation_lag_1,Demand_30d_avg,Day-ahead demand forecast_30d_avg,Solar_30d_avg,Wind_30d_avg,Net generation_30d_avg,Total interchange_30d_avg,Pct_Solar_30d_avg,Pct_Wind_30d_avg,ALLSKY_SFC_SW_DWN_30d_avg,T2M_30d_avg,WSC_30d_avg,unexpect_dem_diff_30d_avg
2019-08-03 00:00:00,MIDW,Midwest,107136,-8758,52,769,2019,8,3,0,39.58,23.13,3.67,MIDW,0.0,1.0,-0.8660254037844385,-0.5000000000000004,215,-0.5307300481619331,-0.8475409228928312,5,-0.9749279121818236,-0.2225209339563146,1,0.05268917440116727,0.7791918291249543,107416.0,-1689.0,-9159.0,-8382.0,-8706.0,101626.0,105727.0,107136.0,52.0,769.0,98692.0,-8758.0,0.05268917440116727,0.7791918291249543,39.58,23.13,3.67,-1689.0
2019-08-03 01:00:00,MIDW,Midwest,102811,-8081,17,929,2019,8,3,1,0.0,20.53,3.96,MIDW,0.25881904510252074,0.9659258262890683,-0.8660254037844385,-0.5000000000000004,215,-0.5307300481619331,-0.8475409228928312,5,-0.9749279121818236,-0.2225209339563146,1,0.017971541535403937,0.9820918874347211,103564.0,-2508.0,-8758.0,-7533.0,-8886.0,98692.0,103391.5,104973.5,34.5,849.0,96643.0,-8419.5,0.035330357968285604,0.8806418582798377,19.79,21.83,3.815,-2098.5
2019-08-03 02:00:00,MIDW,Midwest,100089,-7909,3,1394,2019,8,3,2,0.0,19.66,3.7,MIDW,0.49999999999999994,0.8660254037844387,-0.8660254037844385,-0.5000000000000004,215,-0.5307300481619331,-0.8475409228928312,5,-0.9749279121818236,-0.2225209339563146,1,0.00328360496043256,1.5257817716143298,101129.0,-3405.0,-8081.0,-7477.0,-8666.0,94594.0,101502.33333333333,103345.33333333333,24.0,1030.6666666666667,94883.0,-8249.333333333334,0.024648106965667924,1.0956884960580018,13.193333333333333,21.106666666666666,3.776666666666667,-2534.0
2019-08-03 03:00:00,MIDW,Midwest,95559,-8055,0,2197,2019,8,3,3,0.0,19.33,3.04,MIDW,0.7071067811865476,0.7071067811865476,-0.8660254037844385,-0.5000000000000004,215,-0.5307300481619331,-0.8475409228928312,5,-0.9749279121818236,-0.2225209339563146,1,0.0,2.5182536134704216,96274.0,-2344.0,-7909.0,-7407.0,-8249.333333333334,91363.0,99609.25,101398.75,18.0,1322.25,92973.0,-8200.75,0.018486080224250943,1.4513297754111067,9.895,20.6625,3.5925000000000002,-2486.5
2019-08-03 04:00:00,MIDW,Midwest,89336,-7505,0,2838,2019,8,3,4,0.0,19.4,2.3,MIDW,0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004,215,-0.5307300481619331,-0.8475409228928312,5,-0.9749279121818236,-0.2225209339563146,1,0.0,3.4837046584422757,89673.0,-1770.0,-8055.0,-6947.0,-8015.0,87243.0,97268.0,98986.2,14.4,1625.4,90671.4,-8061.6,0.014788864179400753,1.8578047520173406,7.9159999999999995,20.41,3.3340000000000005,-2343.2
2019-08-03 05:00:00,MIDW,Midwest,83572,-6146,0,2817,2019,8,3,5,0.0,19.16,1.74,MIDW,0.9659258262890683,0.25881904510252074,-0.8660254037844385,-0.5000000000000004,215,-0.5307300481619331,-0.8475409228928312,5,-0.9749279121818236,-0.2225209339563146,1,0.0,3.6410872852766683,83908.0,-1299.0,-7505.0,-7425.0,-7823.0,81465.0,94824.83333333333,96417.16666666667,12.0,1824.0,88454.0,-7742.333333333333,0.012324053482833962,2.155018507560562,6.596666666666667,20.201666666666664,3.0683333333333334,-2169.1666666666665
2019-08-03 06:00:00,MIDW,Midwest,79471,-5786,0,2618,2019,8,3,6,0.0,19.45,1.3,MIDW,1.0,6.123233995736766e-17,-0.8660254037844385,-0.5000000000000004,215,-0.5307300481619331,-0.8475409228928312,5,-0.9749279121818236,-0.2225209339563146,1,0.0,3.5879233077966752,79781.0,-1989.0,-6146.0,-7710.0,-7235.333333333333,77367.0,92391.57142857143,93996.28571428571,10.285714285714286,1937.4285714285713,86241.57142857143,-7462.857142857143,0.010563474413857682,2.359719193308578,5.654285714285714,20.094285714285714,2.815714285714286,-2143.4285714285716
2019-08-03 07:00:00,MIDW,Midwest,75686,-6310,0,2530,2019,8,3,7,0.0,19.37,0.75,MIDW,0.9659258262890683,-0.25881904510252063,-0.8660254037844385,-0.5000000000000004,215,-0.5307300481619331,-0.8475409228928312,5,-0.9749279121818236,-0.2225209339563146,1,0.0,3.6939699226164406,76323.0,-2264.0,-5786.0,-8650.0,-6479.0,72967.0,90100.0,91707.5,9.0,2011.5,84022.625,-7318.75,0.009243040112125471,2.526500534472061,4.9475,20.00375,2.5575,-2158.5
2019-08-03 08:00:00,MIDW,Midwest,73124,-6118,0,2128,2019,8,3,8,0.0,19.15,0.24,MIDW,0.8660254037844387,-0.4999999999999998,-0.8660254037844385,-0.5000000000000004,215,-0.5307300481619331,-0.8475409228928312,5,-0.9749279121818236,-0.2225209339563146,1,0.0,3.237191188998418,74175.0,-2978.0,-6310.0,-7126.0,-6080.666666666667,68490.0,87999.66666666667,89642.66666666667,8.0,2024.4444444444443,81990.77777777778,-7185.333333333333,0.008216035655222642,2.6054661627527675,4.397777777777778,19.90888888888889,2.3,-2249.5555555555557
2019-08-03 09:00:00,MIDW,Midwest,71609,-6566,0,1903,2019,8,3,9,0.0,18.51,0.9,MIDW,0.7071067811865476,-0.7071067811865475,-0.8660254037844385,-0.5000000000000004,215,-0.5307300481619331,-0.8475409228928312,5,-0.9749279121818236,-0.2225209339563146,1,0.0,2.976367361621596,73323.0,-3573.0,-6118.0,-6959.0,-6071.333333333333,65736.0,86174.7,87839.3,7.2,2012.3,80185.4,-7123.4,0.007394432089700377,2.6425562826396503,3.9579999999999997,19.769,2.16,-2381.9
2019-08-03 10:00:00,MIDW,Midwest,71231,-6286,0,1616,2019,8,3,10,0.0,17.23,1.58,MIDW,0.49999999999999994,-0.8660254037844387,-0.8660254037844385,-0.5000000000000004,215,-0.5307300481619331,-0.8475409228928312,5,-0.9749279121818236,-0.2225209339563146,1,0.0,2.5496197658641253,74301.0,-5351.0,-6566.0,-7272.0,-6331.333333333333,63937.0,84608.81818181818,86329.45454545454,6.545454545454546,1976.2727272727273,78657.81818181818,-7047.272727272727,0.0067222109906367065,2.6341075083873298,3.598181818181818,19.538181818181815,2.1072727272727274,-2651.818181818182
2019-08-03 11:00:00,MIDW,Midwest,71672,-6472,0,1328,2019,8,3,11,62.0,17.7,2.19,MIDW,0.258819045102521,-0.9659258262890682,-0.8660254037844385,-0.5000000000000004,215,-0.5307300481619331,-0.8475409228928312,5,-0.9749279121818236,-0.2225209339563146,1,0.0,2.086934657572996,77445.0,-8036.0,-6286.0,-6884.0,-6323.333333333333,63382.0,83342.16666666667,85108.0,6.0,1922.25,77405.83333333333,-6999.333333333333,0.006162026741416981,2.5885097708194684,8.465,19.385,2.1141666666666667,-3100.5
2019-08-03 12:00:00,MIDW,Midwest,72436,-5795,4,1220,2019,8,3,12,225.88,19.88,2.26,MIDW,1.2246467991473532e-16,-1.0,-0.8660254037844385,-0.5000000000000004,215,-0.5307300481619331,-0.8475409228928312,5,-0.9749279121818236,-0.2225209339563146,1,0.006160290765724143,1.8788886835458634,80603.0,-10600.0,-6472.0,-6953.0,-6441.333333333333,63634.0,82316.07692307692,84133.23076923077,5.846153846153846,1868.2307692307693,76446.30769230769,-6906.692307692308,0.0061618932048252235,2.5339235333368837,25.189230769230768,19.423076923076923,2.125384615384615,-3677.3846153846152
2019-08-03 13:00:00,MIDW,Midwest,75365,-5648,28,1071,2019,8,3,13,406.6,22.29,1.85,MIDW,-0.2588190451025208,-0.9659258262890683,-0.8660254037844385,-0.5000000000000004,215,-0.5307300481619331,-0.8475409228928312,5,-0.9749279121818236,-0.2225209339563146,1,0.04088486529897058,1.5638460976856245,83989.0,-10645.0,-5795.0,-7307.0,-6184.333333333333,64932.0,81675.21428571429,83506.92857142857,7.428571428571429,1811.2857142857142,75877.64285714286,-6816.785714285715,0.008642105497264177,2.4646322879332225,52.43285714285714,19.627857142857145,2.105714285714286,-4175.071428571428
