YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WSC,Region,datetime
2019,8,1,0,43.62,19.07,6.14,MIDW,2019-08-01 00:00:00
2019,8,1,1,0.0,16.4,5.74,MIDW,2019-08-01 01:00:00
2019,8,1,2,0.0,15.46,5.04,MIDW,2019-08-01 02:00:00
2019,8,1,3,0.0,14.79,4.69,MIDW,2019-08-01 03:00:00
2019,8,1,4,0.0,14.22,4.73,MIDW,2019-08-01 04:00:00
2019,8,1,5,0.0,13.73,4.82,MIDW,2019-08-01 05:00:00
2019,8,1,6,0.0,13.32,4.85,MIDW,2019-08-01 06:00:00
2019,8,1,7,0.0,13.07,4.77,MIDW,2019-08-01 07:00:00
2019,8,1,8,0.0,13.24,4.7,MIDW,2019-08-01 08:00:00
2019,8,1,9,0.0,13.18,4.61,MIDW,2019-08-01 09:00:00
2019,8,1,10,0.0,12.59,4.61,MIDW,2019-08-01 10:00:00
2019,8,1,11,69.25,14.14,4.84,MIDW,2019-08-01 11:00:00
2019,8,1,12,227.2,16.88,4.41,MIDW,2019-08-01 12:00:00
2019,8,1,13,399.95,19.4,3.8,MIDW,2019-08-01 13:00:00
2019,8,1,14,568.6,21.86,3.39,MIDW,2019-08-01 14:00:00
2019,8,1,15,738.25,23.58,3.12,MIDW,2019-08-01 15:00:00
2019,8,1,16,777.35,24.84,3.04,MIDW,2019-08-01 16:00:00
2019,8,1,17,819.2,25.79,3.12,MIDW,2019-08-01 17:00:00
2019,8,1,18,799.58,26.39,3.25,MIDW,2019-08-01 18:00:00
2019,8,1,19,795.67,26.71,3.25,MIDW,2019-08-01 19:00:00
2019,8,1,20,712.65,26.72,3.06,MIDW,2019-08-01 20:00:00
2019,8,1,21,582.62,26.38,3.0,MIDW,2019-08-01 21:00:00
2019,8,1,22,387.2,25.83,3.35,MIDW,2019-08-01 22:00:00
2019,8,1,23,203.52,24.62,3.95,MIDW,2019-08-01 23:00:00
2019,8,2,0,47.62,21.44,4.83,MIDW,2019-08-02 00:00:00
2019,8,2,1,0.0,18.73,5.41,MIDW,2019-08-02 01:00:00
2019,8,2,2,0.0,17.75,5.3,MIDW,2019-08-02 02:00:00
2019,8,2,3,0.0,17.0,4.84,MIDW,2019-08-02 03:00:00
2019,8,2,4,0.0,16.39,4.47,MIDW,2019-08-02 04:00:00
2019,8,2,5,0.0,15.95,4.11,MIDW,2019-08-02 05:00:00
2019,8,2,6,0.0,15.82,3.6,MIDW,2019-08-02 06:00:00
2019,8,2,7,0.0,15.74,3.16,MIDW,2019-08-02 07:00:00
2019,8,2,8,0.0,15.46,2.95,MIDW,2019-08-02 08:00:00
2019,8,2,9,0.0,14.92,3.04,MIDW,2019-08-02 09:00:00
2019,8,2,10,0.0,14.5,3.25,MIDW,2019-08-02 10:00:00
2019,8,2,11,67.12,16.08,3.37,MIDW,2019-08-02 11:00:00
2019,8,2,12,235.4,19.14,2.89,MIDW,2019-08-02 12:00:00
2019,8,2,13,427.33,22.0,1.71,MIDW,2019-08-02 13:00:00
2019,8,2,14,605.95,24.48,0.81,MIDW,2019-08-02 14:00:00
2019,8,2,15,753.88,25.89,0.8,MIDW,2019-08-02 15:00:00
2019,8,2,16,839.12,26.97,1.15,MIDW,2019-08-02 16:00:00
2019,8,2,17,916.65,27.76,1.64,MIDW,2019-08-02 17:00:00
2019,8,2,18,909.35,28.3,2.15,MIDW,2019-08-02 18:00:00
2019,8,2,19,853.08,28.5,2.66,MIDW,2019-08-02 19:00:00
2019,8,2,20,736.92,28.35,3.0,MIDW,2019-08-02 20:00:00
2019,8,2,21,583.92,27.89,3.22,MIDW,2019-08-02 21:00:00
2019,8,2,22,403.52,27.47,3.27,MIDW,2019-08-02 22:00:00
2019,8,2,23,215.57,26.27,3.27,MIDW,2019-08-02 23:00:00
2019,8,3,0,39.58,23.13,3.67,MIDW,2019-08-03 00:00:00
2019,8,3,1,0.0,20.53,3.96,MIDW,2019-08-03 01:00:00
2019,8,3,2,0.0,19.66,3.7,MIDW,2019-08-03 02:00:00
2019,8,3,3,0.0,19.33,3.04,MIDW,2019-08-03 03:00:00
2019,8,3,4,0.0,19.4,2.3,MIDW,2019-08-03 04:00:00
2019,8,3,5,0.0,19.16,1.74,MIDW,2019-08-03 05:00:00
2019,8,3,6,0.0,19.45,1.3,MIDW,2019-08-03 06:00:00
2019,8,3,7,0.0,19.37,0.75,MIDW,2019-08-03 07:00:00
2019,8,3,8,0.0,19.15,0.24,MIDW,2019-08-03 08:00:00
2019,8,3,9,0.0,18.51,0.9,MIDW,2019-08-03 09:00:00
2019,8,3,10,0.0,17.23,1.58,MIDW,2019-08-03 10:00:00
2019,8,3,11,62.0,17.7,2.19,MIDW,2019-08-03 11:00:00
2019,8,3,12,225.88,19.88,2.26,MIDW,2019-08-03 12:00:00
2019,8,3,13,406.6,22.29,1.85,MIDW,2019-08-03 13:00:00
2019,8,3,14,594.3,25.62,2.29,MIDW,2019-08-03 14:00:00
